iter	Passed	Remaining
0	1	1596
1	3	1960
2	6	2209
3	9	2350
4	11	2370
5	14	2381
6	16	2381
7	19	2397
8	22	2425
9	24	2454
10	28	2526
11	31	2568
12	33	2578
13	36	2600
14	40	2631
15	43	2680
16	46	2702
17	49	2718
18	52	2727
19	55	2743
20	59	2755
21	62	2769
22	65	2770
23	68	2781
24	71	2781
25	74	2788
26	77	2782
27	80	2785
28	83	2780
29	86	2782
30	89	2792
31	92	2805
32	95	2810
33	99	2815
34	102	2817
35	105	2818
36	108	2811
37	110	2801
38	113	2790
39	115	2780
40	118	2773
41	121	2778
42	125	2784
43	128	2782
44	131	2780
45	134	2783
46	137	2782
47	140	2779
48	143	2777
49	146	2776
50	148	2768
51	151	2762
52	154	2758
53	157	2756
54	160	2764
55	164	2777
56	167	2776
57	171	2779
58	174	2782
59	178	2788
60	181	2794
61	186	2815
62	190	2834
63	194	2842
64	197	2848
65	201	2846
66	204	2842
67	207	2845
68	210	2844
69	213	2841
70	216	2835
71	219	2830
72	222	2823
73	225	2818
74	228	2812
75	231	2809
76	233	2804
77	236	2800
78	240	2799
79	242	2793
80	245	2786
81	247	2776
82	251	2773
83	253	2764
84	256	2760
85	259	2756
86	262	2752
87	264	2742
88	267	2737
89	284	2881
90	287	2874
91	290	2866
92	292	2856
93	295	2846
94	297	2836
95	300	2831
96	303	2822
97	305	2814
98	308	2809
99	311	2800
100	313	2793
101	316	2785
102	318	2776
103	321	2766
104	323	2756
105	325	2746
106	328	2738
107	330	2731
108	333	2724
109	335	2717
110	338	2709
111	340	2701
112	342	2692
113	345	2684
114	347	2676
115	350	2669
116	352	2661
117	354	2652
118	357	2647
119	360	2642
120	363	2638
121	365	2632
122	368	2626
123	371	2623
124	373	2617
125	376	2612
126	379	2607
127	382	2602
128	384	2595
129	386	2589
130	389	2584
131	392	2578
132	394	2572
133	397	2566
134	399	2559
135	401	2553
136	404	2549
137	407	2542
138	409	2538
139	413	2537
140	415	2534
141	418	2529
142	421	2528
143	425	2526
144	428	2524
145	431	2522
146	434	2521
147	437	2519
148	440	2513
149	443	2510
150	445	2504
151	448	2499
152	450	2494
153	453	2489
154	455	2482
155	457	2476
156	460	2470
157	462	2465
158	465	2460
159	468	2458
160	470	2452
161	473	2448
162	475	2443
163	478	2438
164	480	2432
165	483	2428
166	485	2423
167	488	2416
168	490	2412
169	493	2408
170	495	2404
171	498	2398
172	500	2393
173	503	2388
174	505	2384
175	508	2378
176	510	2375
177	513	2371
178	516	2367
179	518	2362
180	521	2359
181	524	2355
182	526	2350
183	529	2347
184	531	2343
185	534	2339
186	537	2336
187	539	2331
188	542	2326
189	544	2322
190	547	2318
191	550	2314
192	552	2310
193	555	2305
194	557	2300
195	559	2296
196	562	2291
197	565	2288
198	567	2283
199	569	2279
200	572	2275
201	575	2273
202	578	2271
203	581	2269
204	584	2265
205	587	2264
206	590	2261
207	592	2257
208	595	2253
209	597	2249
